date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:08:03	271509/271509	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Dec%202022%2014:03:50%20GMT	https://www.nytimes.com/2022/11/04/dining/ai-thanksgiving-menu.html	C:/Users/leagu/Desktop/Articles/Article/www.nytimes.com/2022/11/04/dining/ai-thanksgiving-menu.html	(from )
15:08:04	238096/238096	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Dec%202022%2014:07:20%20GMT	https://www.nytimes.com/2022/12/06/opinion/chatgpt-ai-skilled-jobs-automation.html	C:/Users/leagu/Desktop/Articles/Article/www.nytimes.com/2022/12/06/opinion/chatgpt-ai-skilled-jobs-automation.html	(from )
15:08:04	250377/250377	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Dec%202022%2014:08:02%20GMT	https://www.nytimes.com/2022/10/21/technology/ai-generated-art-jobs-dall-e-2.html	C:/Users/leagu/Desktop/Articles/Article/www.nytimes.com/2022/10/21/technology/ai-generated-art-jobs-dall-e-2.html	(from )
15:08:05	534/534	---M-Z	200	added ('OK')	text/plain	date:Wed,%2030%20Nov%202022%2021:11:08%20GMT	https://www.nytimes.com/robots.txt		(from )
15:08:05	127601/127601	---M--	200	added ('OK')	image/jpeg	etag:%225e7befa5862bfcb6377c73ed0766a1c2%22	https://static01.nyt.com/images/2022/11/09/dining/09ai-thanksgiving1/04ai-thanksgiving1-facebookJumbo.jpg	C:/Users/leagu/Desktop/Articles/Article/static01.nyt.com/images/2022/11/09/dining/09ai-thanksgiving1/04ai-thanksgiving1-facebookJumbo.jpg	(from https://www.nytimes.com/2022/11/04/dining/ai-thanksgiving-menu.html)
15:08:05	816886/816886	---M--	200	added ('OK')	image/jpeg	etag:%22b46779cbae9128afb90aaffadb70ecff%22	https://static01.nyt.com/images/2022/11/09/dining/09ai-thanksgiving1/09ai-thanksgiving1-videoSixteenByNine3000-v2.jpg	C:/Users/leagu/Desktop/Articles/Article/static01.nyt.com/images/2022/11/09/dining/09ai-thanksgiving1/09ai-thanksgiving1-videoSixteenByNine3000-v2.jpg	(from https://www.nytimes.com/2022/11/04/dining/ai-thanksgiving-menu.html)
15:08:05	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2012%20Dec%202022%2014:08:03%20GMT	https://www.nytimes.com/2022/11/04/dining/ai-thanksgiving-menu.amp.html	C:/Users/leagu/Desktop/Articles/Article/www.nytimes.com/2022/11/04/dining/ai-thanksgiving-menu.amp.5.delayed	(from https://www.nytimes.com/2022/11/04/dining/ai-thanksgiving-menu.html)
15:08:06	72643/72643	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Dec%202022%2014:08:03%20GMT	https://www.nytimes.com/2022/11/04/dining/window.location	C:/Users/leagu/Desktop/Articles/Article/www.nytimes.com/2022/11/04/dining/window.6.delayed	(from https://www.nytimes.com/2022/11/04/dining/ai-thanksgiving-menu.html)
15:08:06	3148/3148	---M--	200	added ('OK')	image/png	etag:%22319373aaf4524d94d38aa599c56b8655%22	https://www.nytimes.com/vi-assets/static-assets/apple-touch-icon-28865b72953380a40aa43318108876cb.png	C:/Users/leagu/Desktop/Articles/Article/www.nytimes.com/vi-assets/static-assets/apple-touch-icon-28865b72953380a40aa43318108876cb.png	(from https://www.nytimes.com/2022/11/04/dining/ai-thanksgiving-menu.html)
15:08:06	3148/3148	---M--	200	added ('OK')	image/png	etag:%22319373aaf4524d94d38aa599c56b8655%22	https://www.nytimes.com/vi-assets/static-assets/ios-ipad-144x144-28865b72953380a40aa43318108876cb.png	C:/Users/leagu/Desktop/Articles/Article/www.nytimes.com/vi-assets/static-assets/ios-ipad-144x144-28865b72953380a40aa43318108876cb.png	(from https://www.nytimes.com/2022/11/04/dining/ai-thanksgiving-menu.html)
